Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s),Seed
212.454,200,3,2.4,40,20,3
226.805,400,3,2.4,40,20,3
227.066,600,3,2.4,40,20,3
226.09,800,3,2.4,40,20,3
225.85,1000,3,2.4,40,20,3
226.671,1200,3,2.4,40,20,3
226.751,1400,3,2.4,40,20,3
226.292,1600,3,2.4,40,20,3
226.178,1800,3,2.4,40,20,3
226.376,2000,3,2.4,40,20,3
226.203,2200,3,2.4,40,20,3
226.301,2400,3,2.4,40,20,3
226.094,2600,3,2.4,40,20,3
226.833,2800,3,2.4,40,20,3
226.248,3000,3,2.4,40,20,3
226.706,3200,3,2.4,40,20,3
225.984,3400,3,2.4,40,20,3
226.357,3600,3,2.4,40,20,3
226.612,3800,3,2.4,40,20,3
226.521,4000,3,2.4,40,20,3
226.392,4200,3,2.4,40,20,3
226.34,4400,3,2.4,40,20,3
226.261,4600,3,2.4,40,20,3
226.375,4800,3,2.4,40,20,3
226.314,5000,3,2.4,40,20,3
226.489,5200,3,2.4,40,20,3
226.731,5400,3,2.4,40,20,3
226.081,5600,3,2.4,40,20,3
226.285,5800,3,2.4,40,20,3
226.176,6000,3,2.4,40,20,3
226.564,6200,3,2.4,40,20,3
226.867,6400,3,2.4,40,20,3
226.159,6600,3,2.4,40,20,3
226.717,6800,3,2.4,40,20,3
226.132,7000,3,2.4,40,20,3
226.153,7200,3,2.4,40,20,3
226.332,7400,3,2.4,40,20,3
226.216,7600,3,2.4,40,20,3
226.418,7800,3,2.4,40,20,3
226.719,8000,3,2.4,40,20,3
226.321,8200,3,2.4,40,20,3
226.053,8400,3,2.4,40,20,3
225.983,8600,3,2.4,40,20,3
226.45,8800,3,2.4,40,20,3
226.398,9000,3,2.4,40,20,3
226.289,9200,3,2.4,40,20,3
226.435,9400,3,2.4,40,20,3
226.244,9600,3,2.4,40,20,3
226.752,9800,3,2.4,40,20,3
227.063,10000,3,2.4,40,20,3
