Mean_Goodput(Mbps),Distance(m),FrequencyBand(Hz),ChannelWidth(GHz),SimulationTime(s),Seed
179.315,0,2.4,40,30,4
179.314,5,2.4,40,30,4
179.308,10,2.4,40,30,4
159.765,15,2.4,40,30,4
91.7859,20,2.4,40,30,4
91.6644,25,2.4,40,30,4
91.3795,30,2.4,40,30,4
91.3715,35,2.4,40,30,4
91.3715,40,2.4,40,30,4
90.0192,45,2.4,40,30,4
90.0185,50,2.4,40,30,4
90.0055,55,2.4,40,30,4
90.0042,60,2.4,40,30,4
89.9253,65,2.4,40,30,4
46.2096,70,2.4,40,30,4
45.9539,75,2.4,40,30,4
45.9538,80,2.4,40,30,4
45.8016,85,2.4,40,30,4
0,90,2.4,40,30,4
0,95,2.4,40,30,4
0,100,2.4,40,30,4
182.452,0,5,40,30,4
182.45,5,5,40,30,4
113.023,10,5,40,30,4
93.1224,15,5,40,30,4
92.7609,20,5,40,30,4
92.7494,25,5,40,30,4
91.2333,30,5,40,30,4
91.2322,35,5,40,30,4
86.2316,40,5,40,30,4
46.6464,45,5,40,30,4
44.9151,50,5,40,30,4
0,55,5,40,30,4
0,60,5,40,30,4
0,65,5,40,30,4
0,70,5,40,30,4
0,75,5,40,30,4
0,80,5,40,30,4
0,85,5,40,30,4
0,90,5,40,30,4
0,95,5,40,30,4
0,100,5,40,30,4
182.452,0,6,40,30,4
182.45,5,6,40,30,4
108.324,10,6,40,30,4
93.1211,15,6,40,30,4
92.7558,20,6,40,30,4
91.2486,25,6,40,30,4
91.2327,30,6,40,30,4
91.1732,35,6,40,30,4
46.6468,40,6,40,30,4
46.5954,45,6,40,30,4
0,50,6,40,30,4
0,55,6,40,30,4
0,60,6,40,30,4
0,65,6,40,30,4
0,70,6,40,30,4
0,75,6,40,30,4
0,80,6,40,30,4
0,85,6,40,30,4
0,90,6,40,30,4
0,95,6,40,30,4
0,100,6,40,30,4
