MCS,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,6.3026,3,20,30
1,12.8422,3,20,30
2,19.2915,3,20,30
3,25.9832,3,20,30
4,38.9236,3,20,30
5,51.9359,3,20,30
6,58.3753,3,20,30
7,64.9883,3,20,30
8,77.9622,3,20,30
9,86.5134,3,20,30
10,96.7962,3,20,30
11,106.737,3,20,30
12,114.867,3,20,30
13,126.966,3,20,30
0,12.5895,3,40,30
1,25.7409,3,40,30
2,38.5641,3,40,30
3,51.9359,3,40,30
4,77.9622,3,40,30
5,102.732,3,40,30
6,114.867,3,40,30
7,126.966,3,40,30
8,150.411,3,40,30
9,165.254,3,40,30
10,184.468,3,40,30
11,201.758,3,40,30
12,216.231,3,40,30
13,238.467,3,40,30
0,26.3904,3,80,30
1,53.7439,3,80,30
2,80.7174,3,80,30
3,107.495,3,80,30
4,156.665,3,80,30
5,203.116,3,80,30
6,225.955,3,80,30
7,248.289,3,80,30
8,288.714,3,80,30
9,315.958,3,80,30
10,348.872,3,80,30
11,379.631,3,80,30
12,405.138,3,80,30
13,440.684,3,80,30
0,52.7373,3,160,30
1,106.17,3,160,30
2,154.058,3,160,30
3,203.116,3,160,30
4,288.714,3,160,30
5,365.809,3,160,30
6,405.138,3,160,30
7,440.684,3,160,30
8,499.05,3,160,30
9,544.094,3,160,30
10,586.436,3,160,30
11,635.939,3,160,30
12,663.943,3,160,30
13,710.937,3,160,30
