MCS,CtlrRate,Mean_Goodput(Mbps),Distance(m),ChannelWidth(Hz),SimulationTime(s)
0,ErpOfdmRate6Mbps,6.20399,5,20,30
1,ErpOfdmRate12Mbps,12.6428,5,20,30
2,ErpOfdmRate18Mbps,18.9922,5,20,30
3,ErpOfdmRate24Mbps,25.5815,5,20,30
4,ErpOfdmRate36Mbps,38.3223,5,20,30
5,ErpOfdmRate48Mbps,51.1371,5,20,30
6,ErpOfdmRate54Mbps,57.4785,5,20,30
7,ErpOfdmRate54Mbps,63.984,5,20,30
8,ErpOfdmRate54Mbps,76.7604,5,20,30
9,ErpOfdmRate54Mbps,85.1825,5,20,30
10,ErpOfdmRate54Mbps,95.3028,5,20,30
11,ErpOfdmRate54Mbps,105.084,5,20,30
12,ErpOfdmRate54Mbps,113.101,5,20,30
13,ErpOfdmRate54Mbps,125.005,5,20,30
0,ErpOfdmRate6Mbps,12.3942,5,40,30
1,ErpOfdmRate12Mbps,25.3427,5,40,30
2,ErpOfdmRate18Mbps,37.9689,5,40,30
3,ErpOfdmRate24Mbps,51.1371,5,40,30
4,ErpOfdmRate36Mbps,76.7604,5,40,30
5,ErpOfdmRate48Mbps,101.151,5,40,30
6,ErpOfdmRate54Mbps,113.101,5,40,30
7,ErpOfdmRate54Mbps,125.005,5,40,30
8,ErpOfdmRate54Mbps,148.092,5,40,30
9,ErpOfdmRate54Mbps,162.702,5,40,30
10,ErpOfdmRate54Mbps,181.621,5,40,30
11,ErpOfdmRate54Mbps,198.641,5,40,30
12,ErpOfdmRate54Mbps,212.893,5,40,30
13,ErpOfdmRate54Mbps,234.785,5,40,30
