Mean_Goodput(Mbps),PayloadSize(bytes),Distance(m),FrequencyBand(GHz),ChannelWidth(Hz),SimulationTime(s)
121.408,200,3,2.4,40,20
147.555,400,3,2.4,40,20
162.212,600,3,2.4,40,20
170.246,800,3,2.4,40,20
176.224,1000,3,2.4,40,20
182.009,1200,3,2.4,40,20
185.393,1400,3,2.4,40,20
188.769,1600,3,2.4,40,20
190.387,1800,3,2.4,40,20
162.538,2000,3,2.4,40,20
160.618,2200,3,2.4,40,20
169.642,2400,3,2.4,40,20
177.461,2600,3,2.4,40,20
182.185,2800,3,2.4,40,20
184.87,3000,3,2.4,40,20
187.102,3200,3,2.4,40,20
189.883,3400,3,2.4,40,20
190.907,3600,3,2.4,40,20
191.942,3800,3,2.4,40,20
184.447,4000,3,2.4,40,20
186.112,4200,3,2.4,40,20
187.125,4400,3,2.4,40,20
188.428,4600,3,2.4,40,20
188.872,4800,3,2.4,40,20
190.274,5000,3,2.4,40,20
190.603,5200,3,2.4,40,20
191.022,5400,3,2.4,40,20
191.903,5600,3,2.4,40,20
192.553,5800,3,2.4,40,20
188.578,6000,3,2.4,40,20
189.709,6200,3,2.4,40,20
189.481,6400,3,2.4,40,20
190.201,6600,3,2.4,40,20
190.311,6800,3,2.4,40,20
190.939,7000,3,2.4,40,20
191.149,7200,3,2.4,40,20
191.701,7400,3,2.4,40,20
192.437,7600,3,2.4,40,20
192.315,7800,3,2.4,40,20
189.909,8000,3,2.4,40,20
189.642,8200,3,2.4,40,20
190.356,8400,3,2.4,40,20
190.584,8600,3,2.4,40,20
190.747,8800,3,2.4,40,20
191.732,9000,3,2.4,40,20
191.851,9200,3,2.4,40,20
191.907,9400,3,2.4,40,20
192.295,9600,3,2.4,40,20
192.646,9800,3,2.4,40,20
190.856,10000,3,2.4,40,20
123.895,200,3,5,40,20
150.396,400,3,5,40,20
164.81,600,3,5,40,20
173.353,800,3,5,40,20
179.457,1000,3,5,40,20
185.008,1200,3,5,40,20
188.939,1400,3,5,40,20
191.602,1600,3,5,40,20
193.661,1800,3,5,40,20
169.109,2000,3,5,40,20
163.693,2200,3,5,40,20
172.839,2400,3,5,40,20
180.249,2600,3,5,40,20
185.437,2800,3,5,40,20
187.87,3000,3,5,40,20
190.098,3200,3,5,40,20
192.957,3400,3,5,40,20
194.136,3600,3,5,40,20
195.171,3800,3,5,40,20
187.786,4000,3,5,40,20
189.622,4200,3,5,40,20
190.022,4400,3,5,40,20
191.056,4600,3,5,40,20
192.008,4800,3,5,40,20
193.229,5000,3,5,40,20
193.609,5200,3,5,40,20
194.76,5400,3,5,40,20
195.579,5600,3,5,40,20
195.716,5800,3,5,40,20
191.649,6000,3,5,40,20
192.791,6200,3,5,40,20
192.566,6400,3,5,40,20
193.302,6600,3,5,40,20
193.463,6800,3,5,40,20
194.024,7000,3,5,40,20
194.878,7200,3,5,40,20
194.968,7400,3,5,40,20
195.774,7600,3,5,40,20
195.562,7800,3,5,40,20
193.016,8000,3,5,40,20
192.459,8200,3,5,40,20
193.37,8400,3,5,40,20
193.697,8600,3,5,40,20
193.827,8800,3,5,40,20
195.392,9000,3,5,40,20
195.133,9200,3,5,40,20
195.215,9400,3,5,40,20
195.338,9600,3,5,40,20
195.523,9800,3,5,40,20
193.962,10000,3,5,40,20
123.895,200,3,6,40,20
150.396,400,3,6,40,20
164.81,600,3,6,40,20
173.353,800,3,6,40,20
179.457,1000,3,6,40,20
185.008,1200,3,6,40,20
188.939,1400,3,6,40,20
191.602,1600,3,6,40,20
193.661,1800,3,6,40,20
169.109,2000,3,6,40,20
163.693,2200,3,6,40,20
172.839,2400,3,6,40,20
180.249,2600,3,6,40,20
185.437,2800,3,6,40,20
187.87,3000,3,6,40,20
190.098,3200,3,6,40,20
192.957,3400,3,6,40,20
194.136,3600,3,6,40,20
195.171,3800,3,6,40,20
187.786,4000,3,6,40,20
189.622,4200,3,6,40,20
190.022,4400,3,6,40,20
191.056,4600,3,6,40,20
192.008,4800,3,6,40,20
193.229,5000,3,6,40,20
193.609,5200,3,6,40,20
194.76,5400,3,6,40,20
195.579,5600,3,6,40,20
195.716,5800,3,6,40,20
191.649,6000,3,6,40,20
192.791,6200,3,6,40,20
192.566,6400,3,6,40,20
193.302,6600,3,6,40,20
193.463,6800,3,6,40,20
194.024,7000,3,6,40,20
194.878,7200,3,6,40,20
194.968,7400,3,6,40,20
195.774,7600,3,6,40,20
195.562,7800,3,6,40,20
193.016,8000,3,6,40,20
192.459,8200,3,6,40,20
193.37,8400,3,6,40,20
193.697,8600,3,6,40,20
193.827,8800,3,6,40,20
195.392,9000,3,6,40,20
195.133,9200,3,6,40,20
195.215,9400,3,6,40,20
195.338,9600,3,6,40,20
195.523,9800,3,6,40,20
193.962,10000,3,6,40,20
