MCS,Mean_Throughput(Mbps),Distance(m),SimulationTime(s)
0,62.5661,0,20
0,62.5653,5,20
0,62.5653,10,20
0,62.5653,15,20
0,62.5653,20,20
0,62.5642,25,20
0,62.5642,30,20
0,62.5642,35,20
0,62.5642,40,20
0,62.5642,45,20
0,0,50,20
0,0,55,20
0,0,60,20
0,0,65,20
0,0,70,20
0,0,75,20
0,0,80,20
0,0,85,20
0,0,90,20
0,0,95,20
0,0,100,20
1,123.646,0,20
1,123.646,5,20
1,123.642,10,20
1,123.642,15,20
1,123.639,20,20
1,123.639,25,20
1,123.636,30,20
1,123.636,35,20
1,123.636,40,20
1,122.764,45,20
1,0,50,20
1,0,55,20
1,0,60,20
1,0,65,20
1,0,70,20
1,0,75,20
1,0,80,20
1,0,85,20
1,0,90,20
1,0,95,20
1,0,100,20
2,179.758,0,20
2,179.755,5,20
2,179.754,10,20
2,179.754,15,20
2,179.75,20,20
2,179.745,25,20
2,179.739,30,20
2,179.725,35,20
2,164.52,40,20
2,0.0161647,45,20
2,0,50,20
2,0,55,20
2,0,60,20
2,0,65,20
2,0,70,20
2,0,75,20
2,0,80,20
2,0,85,20
2,0,90,20
2,0,95,20
2,0,100,20
3,234.809,0,20
3,234.808,5,20
3,234.801,10,20
3,234.796,15,20
3,234.793,20,20
3,234.79,25,20
3,226.965,30,20
3,0.0161647,35,20
3,0.0161647,40,20
3,0.0161647,45,20
3,0,50,20
3,0,55,20
3,0,60,20
3,0,65,20
3,0,70,20
3,0,75,20
3,0,80,20
3,0,85,20
3,0,90,20
3,0,95,20
3,0,100,20
4,333.705,0,20
4,333.702,5,20
4,333.695,10,20
4,333.689,15,20
4,333.678,20,20
4,268.084,25,20
4,0.0161647,30,20
4,0.0161647,35,20
4,0.0161647,40,20
4,0.0161647,45,20
4,0,50,20
4,0,55,20
4,0,60,20
4,0,65,20
4,0,70,20
4,0,75,20
4,0,80,20
4,0,85,20
4,0,90,20
4,0,95,20
4,0,100,20
5,422.725,0,20
5,422.711,5,20
5,422.702,10,20
5,422.672,15,20
5,0.0161647,20,20
5,0.0161647,25,20
5,0.0161647,30,20
5,0.0161647,35,20
5,0.0161647,40,20
5,0.0161647,45,20
5,0,50,20
5,0,55,20
5,0,60,20
5,0,65,20
5,0,70,20
5,0,75,20
5,0,80,20
5,0,85,20
5,0,90,20
5,0,95,20
5,0,100,20
6,468.147,0,20
6,468.13,5,20
6,468.119,10,20
6,457.705,15,20
6,0.0161647,20,20
6,0.0161647,25,20
6,0.0161647,30,20
6,0.0161647,35,20
6,0.0161647,40,20
6,0.0161647,45,20
6,0,50,20
6,0,55,20
6,0,60,20
6,0,65,20
6,0,70,20
6,0,75,20
6,0,80,20
6,0,85,20
6,0,90,20
6,0,95,20
6,0,100,20
7,509.184,0,20
7,509.161,5,20
7,509.143,10,20
7,413.992,15,20
7,0.0161647,20,20
7,0.0161647,25,20
7,0.0161647,30,20
7,0.0161647,35,20
7,0.0161647,40,20
7,0.0161647,45,20
7,0,50,20
7,0,55,20
7,0,60,20
7,0,65,20
7,0,70,20
7,0,75,20
7,0,80,20
7,0,85,20
7,0,90,20
7,0,95,20
7,0,100,20
8,576.537,0,20
8,576.517,5,20
8,563.525,10,20
8,0.0161647,15,20
8,0.0161647,20,20
8,0.0161647,25,20
8,0.0161647,30,20
8,0.0161647,35,20
8,0.0161647,40,20
8,0.0161647,45,20
8,0,50,20
8,0,55,20
8,0,60,20
8,0,65,20
8,0,70,20
8,0,75,20
8,0,80,20
8,0,85,20
8,0,90,20
8,0,95,20
8,0,100,20
9,628.515,0,20
9,628.487,5,20
9,352.893,10,20
9,0.0161647,15,20
9,0.0161647,20,20
9,0.0161647,25,20
9,0.0161647,30,20
9,0.0161647,35,20
9,0.0161647,40,20
9,0.0161647,45,20
9,0,50,20
9,0,55,20
9,0,60,20
9,0,65,20
9,0,70,20
9,0,75,20
9,0,80,20
9,0,85,20
9,0,90,20
9,0,95,20
9,0,100,20
10,677.353,0,20
10,663.391,5,20
10,0.0161647,10,20
10,0.0161647,15,20
10,0.0161647,20,20
10,0.0161647,25,20
10,0.0161647,30,20
10,0.0161647,35,20
10,0.0161647,40,20
10,0.0161647,45,20
10,0,50,20
10,0,55,20
10,0,60,20
10,0,65,20
10,0,70,20
10,0,75,20
10,0,80,20
10,0,85,20
10,0,90,20
10,0,95,20
10,0,100,20
11,734.399,0,20
11,0.0161647,5,20
11,0.0161647,10,20
11,0.0161647,15,20
11,0.0161647,20,20
11,0.0161647,25,20
11,0.0161647,30,20
11,0.0161647,35,20
11,0.0161647,40,20
11,0.0161647,45,20
11,0,50,20
11,0,55,20
11,0,60,20
11,0,65,20
11,0,70,20
11,0,75,20
11,0,80,20
11,0,85,20
11,0,90,20
11,0,95,20
11,0,100,20
